tx,minute,value,account,side,type,token
77315e1a55b9bba480ef662aa8e1d9fe9ff858185f99e3ff14a47d9dbc419576,02/19/20 0:17,189.17,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
206ec49b1ca4f499ba09ede1587b4856a32e711d29bcd6664a9b44194ea5b04b,02/19/20 0:18,138.86,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
6f0bb8f8ba4fae1ca6a4289761c11b05f9d9474d5dafb58e3a652fdb27b4dc39,02/19/20 0:21,20.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
9d5454020306ec5e74bc09e3771b1b8b99b7e7559dc69972b711024f41eff1d3,02/19/20 0:22,15.16,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
d3f5b90f69e39ccc397ea16de45846a5318df2463997bc3ea6dd7ddfa38a9117,02/19/20 0:24,551.18,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
e507a7ec6251c024a8fb286b6b73f0dce4d87bfdfbaaa3075264c7c727587884,02/19/20 0:25,19.14,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
f9bce2f288be63b55efbf8de909fd862455c30d35cb5ceba6597e77264e558e8,02/19/20 0:29,64.45,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
95134ee57c3f52ae6fcb0ca047e25de2aabfe5426c1193068dbe1c69e88f5fb0,02/19/20 0:30,55.48,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
74d64aa71287007429defe06fbc4dbd9dd1d55ee73e64edb18d13a2d283d6fe5,02/19/20 0:33,40.00,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
4813e680965780c529d7c761a4ca5f58b8f9e9e28abb503fe0cc5081c944f9b1,02/19/20 0:35,32.78,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
