address,collateral,collateral_token,collateral_value_current,issued,notional_value,ratio,oToken,oToken_group,expired
0x4c69…a8e5,1500,USDC,1500,9.375,1500,1,ETH Put $160 05/08/20,oETH,0
0x54f1…57c9,1500,USDC,1500,9.375,1500,1,ETH Put $160 05/08/20,oETH,0
0x9709…12e3,1500,USDC,1500,9.375,1500,1,ETH Put $160 05/08/20,oETH,0
0x3505…bae0,1093.625375,USDC,1093.625375,6.835159,1093.62544,1,ETH Put $160 05/08/20,oETH,0
0x520c…21b0,1000,USDC,1000,6.25,1000,1,ETH Put $160 05/08/20,oETH,0
0x3483…7eaf,499.964705,USDC,499.964705,3.124779,499.96464,1,ETH Put $160 05/08/20,oETH,0
0xd8a1…c66c,499,USDC,499,3.11875,499,1,ETH Put $160 05/08/20,oETH,0
0x31d1…e8c5,412.94,USDC,412.94,2.580875,412.94,1,ETH Put $160 05/08/20,oETH,0
0x0e0a…9dca,344,USDC,344,2.15,344,1,ETH Put $160 05/08/20,oETH,0
0xb8ff…ec34,100,USDC,100,0.625,100,1,ETH Put $160 05/08/20,oETH,0
0xa3d4…6c2c,30,USDC,30,0.1875,30,1,ETH Put $160 05/08/20,oETH,0
0x3111…faca,20,USDC,20,0.125,20,1,ETH Put $160 05/08/20,oETH,0
0x91f7…a0c9,1,USDC,1,0.00625,1,1,ETH Put $160 05/08/20,oETH,0
0x9e68…7d84,1,USDC,1,0.00625,1,1,ETH Put $160 05/08/20,oETH,0
0x5058…8620,0.004688,USDC,0.004688,0.000029,0.00464,1,ETH Put $160 05/08/20,oETH,0
0x0a33…efde,0,USDC,0,0,0,Infinity,ETH Put $160 05/08/20,oETH,0
0x58df…d046,0,USDC,0,0,0,Infinity,ETH Put $160 05/08/20,oETH,0
0xc9e2…a40f,25000,USDC,25000,156.25,25000,1,ETH Put $160 05/01/20,oETH,1
0x01bd…a0f2,10000,USDC,10000,62.5,10000,1,ETH Put $160 05/01/20,oETH,1
0x7f89…3ca4,1600,USDC,1600,10,1600,1,ETH Put $160 05/01/20,oETH,1
0x9700…bf51,1600,USDC,1600,10,1600,1,ETH Put $160 05/01/20,oETH,1
0x3483…7eaf,500.053308,USDC,500.053308,3.125333,500.05328,1,ETH Put $160 05/01/20,oETH,1
0x4f50…efac,340,USDC,340,2,320,1.0625,ETH Put $160 05/01/20,oETH,1
0x000a…5a8e,271,USDC,271,1.69375,271,1,ETH Put $160 05/01/20,oETH,1
0x4da2…62d5,160,USDC,160,1,160,1,ETH Put $160 05/01/20,oETH,1
0xe90a…a6bd,160,USDC,160,1,160,1,ETH Put $160 05/01/20,oETH,1
0x35c4…25e9,30,USDC,30,0.1875,30,1,ETH Put $160 05/01/20,oETH,1
0x4e83…37f4,30,USDC,30,0.1875,30,1,ETH Put $160 05/01/20,oETH,1
0x5aac…4146,18.02,USDC,18.02,0.112625,18.02,1,ETH Put $160 05/01/20,oETH,1
0xae68…4ba4,12.2,USDC,12.2,0.07625,12.2,1,ETH Put $160 05/01/20,oETH,1
0x58df…d046,10,USDC,10,0.0625,10,1,ETH Put $160 05/01/20,oETH,1
0xe3b1…f646,10,USDC,10,0.0625,10,1,ETH Put $160 05/01/20,oETH,1
0xe4ee…cee9,4,USDC,4,0.025,4,1,ETH Put $160 05/01/20,oETH,1
0x9e68…7d84,1,USDC,1,0.00625,1,1,ETH Put $160 05/01/20,oETH,1
0x0154…21d2,0.004,USDC,0.004,0.000025,0.004,1,ETH Put $160 05/01/20,oETH,1
0x9794…2ecd,17380,USDC,17380,115.866667,17380.00005,1,ETH Put $150 04/24/20,oETH,1
0xcbf5…1a94,1105.278,USDC,1105.278,7.36852,1105.278,1,ETH Put $150 04/24/20,oETH,1
0x004a…312d,1000,USDC,1000,6.666667,1000.00005,1,ETH Put $150 04/24/20,oETH,1
0x3dcd…dd15,150,USDC,150,1,150,1,ETH Put $150 04/24/20,oETH,1
0xebdb…dca1,26.264809,USDC,26.264809,0.175099,26.26485,1,ETH Put $150 04/24/20,oETH,1
0xe086…a7ab,20,USDC,20,0.133333,19.99995,1,ETH Put $150 04/24/20,oETH,1
0x93e0…cf8c,8.1,USDC,8.1,0.054,8.1,1,ETH Put $150 04/24/20,oETH,1
0xad8c…6bc4,5.072034,USDC,5.072034,0.033814,5.0721,1,ETH Put $150 04/24/20,oETH,1
0xeee1…efbf,4.999996,USDC,4.999996,0.033333,4.99995,1,ETH Put $150 04/24/20,oETH,1
0x0fcb…477a,1,USDC,1,0.006667,1.00005,1.00001,ETH Put $150 04/24/20,oETH,1
0xc759…35c2,0.54999,USDC,0.54999,0.003667,0.55005,1,ETH Put $150 04/24/20,oETH,1
0x3195…23fb,0.09999,USDC,0.09999,0.000667,0.10005,1,ETH Put $150 04/24/20,oETH,1
0x7204…5a1c,0.004995,USDC,0.004995,0.000033,0.00495,1,ETH Put $150 04/24/20,oETH,1
0xf623…04b1,1,USDC,1,0.000033,0.00495,200.2002,ETH Put $150 04/24/20,oETH,1
0xb7bd…0686,0.00477,USDC,0.00477,0.000032,0.0048,1,ETH Put $150 04/24/20,oETH,1
